Simulation Results from reaction file: /Users/blink/Documents/Teaching/ Coursework_2025-2026/Chem_3530_2026/Kinetiscope/MM1.rxn
The simulation was run on Saturday, 7 February 2026 13:10:43 AST
This table was created on Saturday, 7 February 2026 13:21:15 AST
--------------------------------------

           Data           Time              E             ES              P              S              
          Point            sec     mole/liter     mole/liter     mole/liter     mole/liter              
              
            261      29.115294   1.200012e-07   8.800088e-07    0.026054371    0.073944749              
            262      29.229305    8.00008e-08   9.200092e-07    0.026153842    0.073845238              
            263      29.343322   1.600016e-07   8.400084e-07    0.026254173    0.073744987              
            264      29.457298    8.00008e-08   9.200092e-07    0.026356144    0.073642936              
            265      29.571347   1.600016e-07   8.400084e-07    0.026457335    0.073541825              
            266      29.685503   1.200012e-07   8.800088e-07    0.026558896    0.073440224              
            267      29.799554    1.00001e-07    9.00009e-07    0.026660397    0.073338703              
            268      29.913722   1.800018e-07   8.200082e-07    0.026760118    0.073239062              
            269      30.027702    8.00008e-08   9.200092e-07    0.026861299    0.073137781              
            270      30.141953    1.00001e-07    9.00009e-07     0.02696132     0.07303778              
            271      30.255974    6.00006e-08   9.400094e-07    0.027061211    0.072937849              
            272      30.370174    1.00001e-07    9.00009e-07    0.027162712    0.072836388              
            273      30.484382   1.200012e-07   8.800088e-07    0.027264743    0.072734377              
            274      30.598601    8.00008e-08   9.200092e-07    0.027365284    0.072633796              
            275      30.712764   1.400014e-07   8.600086e-07    0.027465765    0.072533375              
            276       30.82719   1.200012e-07   8.800088e-07    0.027567696    0.072431424              
            277      30.941246    1.00001e-07    9.00009e-07    0.027669687    0.072329413              
            278      31.055597   1.200012e-07   8.800088e-07    0.027769368    0.072229752              
            279      31.169924    8.00008e-08   9.200092e-07    0.027870349    0.072128731              
            280      31.284429    1.00001e-07    9.00009e-07     0.02796968     0.07202942              
            281      31.398832   1.400014e-07   8.600086e-07    0.028070191    0.071928949              
            282      31.513104   1.200012e-07   8.800088e-07    0.028170562    0.071828558              
            283      31.627452   1.400014e-07   8.600086e-07    0.028270313    0.071728827              
            284      31.741892    1.00001e-07    9.00009e-07    0.028370044    0.071629056              
            285      31.856313    1.00001e-07    9.00009e-07    0.028469315    0.071529785              
            286      31.970855    1.00001e-07    9.00009e-07    0.028568376    0.071430724              
            287      32.085231    1.00001e-07    9.00009e-07    0.028668757    0.071330343              
            288      32.199572    8.00008e-08   9.200092e-07    0.028770288    0.071228792              
            289      32.314081    8.00008e-08   9.200092e-07    0.028870329    0.071128751              
            290      32.428573   1.200012e-07   8.800088e-07     0.02897093     0.07102819              
            291      32.543095   1.600016e-07   8.400084e-07    0.029070381    0.070928779              
            292      32.657597   1.200012e-07   8.800088e-07    0.029169622    0.070829498              
            293      32.772107   1.200012e-07   8.800088e-07    0.029269703    0.070729417              
            294      32.886591   1.800018e-07   8.200082e-07    0.029369874    0.070629306              
            295      33.001215   1.200012e-07   8.800088e-07    0.029469555    0.070529565              
            296      33.115893    1.00001e-07    9.00009e-07    0.029569546    0.070429554              
            297      33.230578   1.600016e-07   8.400084e-07    0.029670367    0.070328793              
            298      33.345215    1.00001e-07    9.00009e-07    0.029769428    0.070229672              
            299      33.459793   1.200012e-07   8.800088e-07    0.029870039    0.070129081              
            300      33.574365   1.400014e-07   8.600086e-07     0.02997131     0.07002783              
            301      33.688886   1.200012e-07   8.800088e-07    0.030073321    0.069925799              
            302      33.803571   1.400014e-07   8.600086e-07    0.030171992    0.069827148              
            303      33.918381   1.600016e-07   8.400084e-07    0.030272463    0.069726697              
            304      34.033197   1.800018e-07   8.200082e-07    0.030373304    0.069625876              
            305      34.148077    6.00006e-08   9.400094e-07    0.030473215    0.069525845              
            306      34.262801    1.00001e-07    9.00009e-07    0.030575076    0.069424024              
            307      34.377562   1.600016e-07   8.400084e-07    0.030675417    0.069323743              
            308      34.492469   1.400014e-07   8.600086e-07    0.030774238    0.069224902              
            309      34.607428   1.200012e-07   8.800088e-07    0.030873769    0.069125351              
            310      34.722121    2.00002e-07    8.00008e-07     0.03097493     0.06902427              
            311      34.837055    4.00004e-08   9.600096e-07    0.031075231    0.068923809              
            312      34.951853    6.00006e-08   9.400094e-07    0.031177602    0.068821458              
            313      35.066795   1.400014e-07   8.600086e-07    0.031278383    0.068720757              
            314      35.181795   1.600016e-07   8.400084e-07    0.031379204    0.068619956              
